created_at;details;escalation_type;id;portfolio_id;resolved_at;resolved_by;status
2026-03-18 07:00:06.49829+00;"{""amount"":1000000,""created_at"":""2026-03-04T00:00:00+00:00"",""hours_pending"":343,""portfolio_code"":""WIP2603049746""}";stale_approval;7579ff1c-4c63-49ac-93ad-2ff1d779eed7;03dde3d5-c731-48e4-819d-cdf6f8314938;;;open
2026-03-18 07:00:06.25959+00;"{""amount"":4250000,""created_at"":""2025-03-06T00:00:00+00:00"",""hours_pending"":9055,""portfolio_code"":""WIP2503063114""}";stale_approval;09f01c7b-a3cb-4119-b231-ea6bf2de0512;d5b7c655-f820-4496-ae99-8f2b38c358cb;;;open
2026-03-18 07:00:06.00616+00;"{""amount"":5082000,""created_at"":""2026-03-10T00:00:00+00:00"",""hours_pending"":199,""portfolio_code"":""WIP2603104252""}";stale_approval;0731e52a-1ca9-492c-9f67-6bcb624eaba9;15ed084a-94a1-4ae0-a9b7-6b5906df3882;;;open
2026-03-18 07:00:05.752991+00;"{""amount"":152088,""created_at"":""2026-03-04T00:00:00+00:00"",""hours_pending"":343,""portfolio_code"":""WIP2603047430""}";stale_approval;74acf7f8-ba6e-4dda-9f9a-17da370c8762;6814c36a-6425-4035-9793-f8562e8a10df;;;open
2026-03-18 07:00:05.469963+00;"{""amount"":2600000,""created_at"":""2025-02-28T00:00:00+00:00"",""hours_pending"":9199,""portfolio_code"":""WIP2502288512""}";stale_approval;b0586883-6eef-4520-81c5-513689b2c609;df1e9322-f2f4-49f1-b2e4-1b13f81c4023;;;open
2026-03-18 07:00:05.125159+00;"{""amount"":2950000,""created_at"":""2025-03-06T00:00:00+00:00"",""hours_pending"":9055,""portfolio_code"":""WIP2503068696""}";stale_approval;8fd723ce-a6de-4121-9f11-6f03d2d56ba7;a06de557-e7e3-4b19-b3bf-6b43ca744942;;;open
2026-03-18 07:00:04.865608+00;"{""amount"":1700000,""created_at"":""2025-03-27T00:00:00+00:00"",""hours_pending"":8551,""portfolio_code"":""WIP2503276813""}";stale_approval;4fd54bde-c391-486f-af66-9ef0b70be482;adc5f82a-bb50-490d-aad5-53510dc6489e;;;open
2026-03-18 07:00:04.594604+00;"{""amount"":10000000,""created_at"":""2025-03-24T00:00:00+00:00"",""hours_pending"":8623,""portfolio_code"":""WIP2503248054""}";stale_approval;f0553112-e14a-460b-be29-1b918fb992c4;317fa540-81ca-4210-bcbf-02ef22dc7a9c;;;open
2026-03-18 07:00:04.334506+00;"{""amount"":5000000,""created_at"":""2025-03-19T00:00:00+00:00"",""hours_pending"":8743,""portfolio_code"":""WIP2503196531""}";stale_approval;9d918279-8199-4ca8-9af9-dd67c2c6174b;44da8988-a321-4058-a4f2-9a9d0760ff04;;;open
2026-03-18 07:00:04.060433+00;"{""amount"":1000000,""created_at"":""2025-03-23T00:00:00+00:00"",""hours_pending"":8647,""portfolio_code"":""WIP2503231851""}";stale_approval;58724ac1-0468-4bf3-82d3-c2a9e42abbbd;64947e32-af24-4d50-af62-b745f338bbc9;;;open
2026-03-18 07:00:03.780825+00;"{""amount"":9000000,""created_at"":""2025-03-06T00:00:00+00:00"",""hours_pending"":9055,""portfolio_code"":""WIP2503063318""}";stale_approval;74e1764c-0b09-44b2-9d9f-b406333aae12;d9a2a2e8-168c-4043-94ee-af4b8e9b7cd0;;;open
2026-03-18 07:00:03.426669+00;"{""amount"":2000000,""created_at"":""2025-03-27T00:00:00+00:00"",""hours_pending"":8551,""portfolio_code"":""WIP2503279377""}";stale_approval;55f3e56f-ec05-48ff-987b-29549c71ff83;d3562df6-bd07-4619-bdc6-d276166ae3ef;;;open
2026-03-18 07:00:03.161892+00;"{""amount"":15000000,""created_at"":""2025-03-14T00:00:00+00:00"",""hours_pending"":8863,""portfolio_code"":""WIP2503147897""}";stale_approval;f024e40c-7cbd-4d97-8ff5-eac078a7571a;ae54f0dd-d59a-4c57-8952-5a04faf56ce0;;;open
2026-03-18 07:00:02.89153+00;"{""amount"":7000000,""created_at"":""2025-03-09T00:00:00+00:00"",""hours_pending"":8983,""portfolio_code"":""WIP2503098339""}";stale_approval;a6f2e21a-2fd7-40cc-97de-9c6a7f161fa1;40a3e33d-a2bd-4ac2-859a-64618826d381;;;open
2026-03-18 07:00:02.718601+00;"{""amount"":5000000,""matured_at"":""2026-03-18T07:00:01.434Z"",""portfolio_code"":""WIP2503091894""}";maturity_expired;cd41bd55-7bbf-484e-8780-4dc6a0eb75f4;914434ef-79b1-4809-941e-7794a1ecf5b0;;;open
2026-03-18 07:00:02.55408+00;"{""amount"":28000000,""days_remaining"":10,""portfolio_code"":""WIP2603122701""}";maturity_30d;d55d07b4-1cf5-40e2-8f11-126fc8c441d7;b564d5e9-ffe6-44de-81e0-cb8c1978faaa;;;open
2026-03-18 07:00:02.412242+00;"{""amount"":4500000,""days_remaining"":9,""portfolio_code"":""WIP2503275681""}";maturity_30d;887187b2-a69b-40c7-9dee-dc6453d1a60c;4e6f664d-725c-41ee-8488-8aacb4c32c5b;;;open
2026-03-18 07:00:02.276993+00;"{""amount"":12000000,""days_remaining"":4,""portfolio_code"":""WIP2503227260""}";maturity_7d;bdc8d68b-2ba4-48ca-88a0-8c3303c86ad8;ae1e281b-3fad-47c8-9488-eed84a7065be;;;open
2026-03-18 07:00:02.194155+00;"{""amount"":5000000,""matured_at"":""2026-03-18T07:00:01.434Z"",""portfolio_code"":""WIP2503086265""}";maturity_expired;168b2783-0a30-43bb-acd3-d741d34ea112;78fd8eb1-cb9e-43fc-be4b-fa2a627970ce;;;open
2026-03-18 07:00:02.071292+00;"{""amount"":3000000,""matured_at"":""2026-03-18T07:00:01.434Z"",""portfolio_code"":""WIP2503145178""}";maturity_expired;82437c96-90eb-4652-9e99-dee2c6c9dbae;4e597281-2847-4019-b28a-e8c3c37e8856;;;open
2026-03-18 07:00:01.862243+00;"{""amount"":3000000,""days_remaining"":3,""portfolio_code"":""WIP2503215752""}";maturity_7d;21752f99-af29-4f58-b7e7-cfe8a828af91;034b6074-234f-4459-9bf3-1659fe3e511a;;;open
2026-03-18 07:00:01.707581+00;"{""amount"":12000000,""days_remaining"":5,""portfolio_code"":""WIP2503234440""}";maturity_7d;15c5db88-5cab-476f-97de-f37c85958e8a;382e7356-40aa-4409-90ca-4c5a88f65b3a;;;open
2026-03-18 07:00:01.621676+00;"{""amount"":3200000,""matured_at"":""2026-03-18T07:00:01.434Z"",""portfolio_code"":""WIP2503122056""}";maturity_expired;eb15fec9-3ac6-4105-b8ec-6bba922c5f31;d8a848a1-ed47-40b3-9e83-56f1b163cf9f;;;open
