schemaname,tablename,indexname,indexdef
public,cfo_threshold_alerts,idx_cfo_alerts_unacked,"CREATE INDEX idx_cfo_alerts_unacked ON public.cfo_threshold_alerts USING btree (acknowledged, created_at DESC)"
public,commission_accrual_ledger,commission_accrual_ledger_pkey,CREATE UNIQUE INDEX commission_accrual_ledger_pkey ON public.commission_accrual_ledger USING btree (id)
public,commission_accrual_ledger,idx_commission_accrual_agent,CREATE INDEX idx_commission_accrual_agent ON public.commission_accrual_ledger USING btree (agent_id)
public,commission_accrual_ledger,idx_commission_accrual_status,CREATE INDEX idx_commission_accrual_status ON public.commission_accrual_ledger USING btree (status)
public,conversation_participants,conversation_participants_conversation_id_user_id_key,"CREATE UNIQUE INDEX conversation_participants_conversation_id_user_id_key ON public.conversation_participants USING btree (conversation_id, user_id)"
public,conversation_participants,conversation_participants_pkey,CREATE UNIQUE INDEX conversation_participants_pkey ON public.conversation_participants USING btree (id)
public,conversation_participants,idx_conversation_participants_conversation_id,CREATE INDEX idx_conversation_participants_conversation_id ON public.conversation_participants USING btree (conversation_id)
public,conversation_participants,idx_conversation_participants_user,CREATE INDEX idx_conversation_participants_user ON public.conversation_participants USING btree (user_id)
public,conversation_participants,idx_conversation_participants_user_id,CREATE INDEX idx_conversation_participants_user_id ON public.conversation_participants USING btree (user_id)
public,conversations,conversations_pkey,CREATE UNIQUE INDEX conversations_pkey ON public.conversations USING btree (id)
public,credit_access_draws,credit_access_draws_pkey,CREATE UNIQUE INDEX credit_access_draws_pkey ON public.credit_access_draws USING btree (id)
public,credit_access_limits,credit_access_limits_pkey,CREATE UNIQUE INDEX credit_access_limits_pkey ON public.credit_access_limits USING btree (id)
public,credit_access_limits,credit_access_limits_user_id_key,CREATE UNIQUE INDEX credit_access_limits_user_id_key ON public.credit_access_limits USING btree (user_id)
public,credit_access_limits,idx_credit_access_user,CREATE INDEX idx_credit_access_user ON public.credit_access_limits USING btree (user_id)
public,credit_draw_ledger,credit_draw_ledger_pkey,CREATE UNIQUE INDEX credit_draw_ledger_pkey ON public.credit_draw_ledger USING btree (id)
public,credit_request_details,credit_request_details_pkey,CREATE UNIQUE INDEX credit_request_details_pkey ON public.credit_request_details USING btree (id)
public,daily_platform_stats,daily_platform_stats_pkey,CREATE UNIQUE INDEX daily_platform_stats_pkey ON public.daily_platform_stats USING btree (id)
public,daily_platform_stats,daily_platform_stats_stat_date_key,CREATE UNIQUE INDEX daily_platform_stats_stat_date_key ON public.daily_platform_stats USING btree (stat_date)
public,default_recovery_ledger,default_recovery_ledger_pkey,CREATE UNIQUE INDEX default_recovery_ledger_pkey ON public.default_recovery_ledger USING btree (id)
public,default_recovery_ledger,idx_default_recovery_status,CREATE INDEX idx_default_recovery_status ON public.default_recovery_ledger USING btree (status)
public,default_recovery_ledger,idx_default_recovery_tenant,CREATE INDEX idx_default_recovery_tenant ON public.default_recovery_ledger USING btree (tenant_id)
public,departments,departments_name_key,CREATE UNIQUE INDEX departments_name_key ON public.departments USING btree (name)
public,departments,departments_pkey,CREATE UNIQUE INDEX departments_pkey ON public.departments USING btree (id)
public,deposit_requests,deposit_requests_pkey,CREATE UNIQUE INDEX deposit_requests_pkey ON public.deposit_requests USING btree (id)
public,deposit_requests,deposit_requests_transaction_id_idx,CREATE INDEX deposit_requests_transaction_id_idx ON public.deposit_requests USING btree (transaction_id) WHERE (transaction_id IS NOT NULL)
public,deposit_requests,deposit_requests_transaction_id_unique,CREATE UNIQUE INDEX deposit_requests_transaction_id_unique ON public.deposit_requests USING btree (transaction_id) WHERE (transaction_id IS NOT NULL)
public,deposit_requests,idx_deposit_requests_created_at,CREATE INDEX idx_deposit_requests_created_at ON public.deposit_requests USING btree (created_at)
public,deposit_requests,idx_deposit_requests_processed_by,CREATE INDEX idx_deposit_requests_processed_by ON public.deposit_requests USING btree (processed_by)
public,deposit_requests,idx_deposit_requests_status,CREATE INDEX idx_deposit_requests_status ON public.deposit_requests USING btree (status)
public,deposit_requests,idx_deposit_requests_transaction_id_unique,CREATE UNIQUE INDEX idx_deposit_requests_transaction_id_unique ON public.deposit_requests USING btree (transaction_id) WHERE (transaction_id IS NOT NULL)
public,deposit_requests,idx_deposit_requests_user_status,"CREATE INDEX idx_deposit_requests_user_status ON public.deposit_requests USING btree (user_id, status)"
public,disbursement_records,disbursement_records_pkey,CREATE UNIQUE INDEX disbursement_records_pkey ON public.disbursement_records USING btree (id)
public,disbursement_records,idx_disbursement_date,CREATE INDEX idx_disbursement_date ON public.disbursement_records USING btree (disbursed_at DESC)
public,disbursement_records,idx_disbursement_rent_request,CREATE INDEX idx_disbursement_rent_request ON public.disbursement_records USING btree (rent_request_id)
public,disciplinary_records,disciplinary_records_pkey,CREATE UNIQUE INDEX disciplinary_records_pkey ON public.disciplinary_records USING btree (id)
public,earning_baselines,earning_baselines_pkey,CREATE UNIQUE INDEX earning_baselines_pkey ON public.earning_baselines USING btree (user_id)
public,earning_baselines,idx_earning_baselines_user,CREATE INDEX idx_earning_baselines_user ON public.earning_baselines USING btree (user_id)
public,earning_predictions,earning_predictions_pkey,CREATE UNIQUE INDEX earning_predictions_pkey ON public.earning_predictions USING btree (id)
public,earning_predictions,idx_earning_predictions_user_period,"CREATE INDEX idx_earning_predictions_user_period ON public.earning_predictions USING btree (user_id, period, created_at DESC)"
public,email_send_log,email_send_log_pkey,CREATE UNIQUE INDEX email_send_log_pkey ON public.email_send_log USING btree (id)
public,email_send_log,idx_email_send_log_created,CREATE INDEX idx_email_send_log_created ON public.email_send_log USING btree (created_at DESC)
public,email_send_log,idx_email_send_log_message,CREATE INDEX idx_email_send_log_message ON public.email_send_log USING btree (message_id)
public,email_send_log,idx_email_send_log_message_sent_unique,CREATE UNIQUE INDEX idx_email_send_log_message_sent_unique ON public.email_send_log USING btree (message_id) WHERE (status = 'sent'::text)
public,email_send_log,idx_email_send_log_recipient,CREATE INDEX idx_email_send_log_recipient ON public.email_send_log USING btree (recipient_email)
public,email_send_state,email_send_state_pkey,CREATE UNIQUE INDEX email_send_state_pkey ON public.email_send_state USING btree (id)
public,email_unsubscribe_tokens,email_unsubscribe_tokens_email_key,CREATE UNIQUE INDEX email_unsubscribe_tokens_email_key ON public.email_unsubscribe_tokens USING btree (email)
public,email_unsubscribe_tokens,email_unsubscribe_tokens_pkey,CREATE UNIQUE INDEX email_unsubscribe_tokens_pkey ON public.email_unsubscribe_tokens USING btree (id)
public,email_unsubscribe_tokens,email_unsubscribe_tokens_token_key,CREATE UNIQUE INDEX email_unsubscribe_tokens_token_key ON public.email_unsubscribe_tokens USING btree (token)
public,email_unsubscribe_tokens,idx_unsubscribe_tokens_token,CREATE INDEX idx_unsubscribe_tokens_token ON public.email_unsubscribe_tokens USING btree (token)
public,employee_agreement_acceptance,employee_agreement_acceptance_pkey,CREATE UNIQUE INDEX employee_agreement_acceptance_pkey ON public.employee_agreement_acceptance USING btree (id)
public,fee_revenue_ledger,fee_revenue_ledger_pkey,CREATE UNIQUE INDEX fee_revenue_ledger_pkey ON public.fee_revenue_ledger USING btree (id)
public,fee_revenue_ledger,idx_fee_revenue_rent,CREATE INDEX idx_fee_revenue_rent ON public.fee_revenue_ledger USING btree (rent_request_id)
public,fee_revenue_ledger,idx_fee_revenue_status,CREATE INDEX idx_fee_revenue_status ON public.fee_revenue_ledger USING btree (status)
public,financial_agents,financial_agents_agent_id_expense_category_key,"CREATE UNIQUE INDEX financial_agents_agent_id_expense_category_key ON public.financial_agents USING btree (agent_id, expense_category)"
public,financial_agents,financial_agents_pkey,CREATE UNIQUE INDEX financial_agents_pkey ON public.financial_agents USING btree (id)
public,float_requests,float_requests_pkey,CREATE UNIQUE INDEX float_requests_pkey ON public.float_requests USING btree (id)
public,float_requests,idx_float_requests_agent,"CREATE INDEX idx_float_requests_agent ON public.float_requests USING btree (agent_id, status, created_at DESC)"
public,funder_visits,funder_visits_pkey,CREATE UNIQUE INDEX funder_visits_pkey ON public.funder_visits USING btree (id)
public,funder_visits,idx_funder_visits_agent,CREATE INDEX idx_funder_visits_agent ON public.funder_visits USING btree (agent_id)
public,funder_visits,idx_funder_visits_created,CREATE INDEX idx_funder_visits_created ON public.funder_visits USING btree (created_at DESC)
public,funder_visits,idx_funder_visits_funder,CREATE INDEX idx_funder_visits_funder ON public.funder_visits USING btree (funder_id)
public,general_ledger,general_ledger_pkey,CREATE UNIQUE INDEX general_ledger_pkey ON public.general_ledger USING btree (id)
public,general_ledger,idx_general_ledger_category,CREATE INDEX idx_general_ledger_category ON public.general_ledger USING btree (category)
public,general_ledger,idx_general_ledger_classification,CREATE INDEX idx_general_ledger_classification ON public.general_ledger USING btree (classification)
public,general_ledger,idx_general_ledger_composite,"CREATE INDEX idx_general_ledger_composite ON public.general_ledger USING btree (created_at DESC, category, direction)"
public,general_ledger,idx_general_ledger_created_at,CREATE INDEX idx_general_ledger_created_at ON public.general_ledger USING btree (created_at DESC)
public,general_ledger,idx_general_ledger_direction,CREATE INDEX idx_general_ledger_direction ON public.general_ledger USING btree (direction)
public,general_ledger,idx_general_ledger_scope,CREATE INDEX idx_general_ledger_scope ON public.general_ledger USING btree (ledger_scope)
public,general_ledger,idx_general_ledger_search,"CREATE INDEX idx_general_ledger_search ON public.general_ledger USING gin ((((((((COALESCE(reference_id, ''::text) || ' '::text) || COALESCE(linked_party, ''::text)) || ' '::text) || COALESCE(description, ''::text)) || ' '::text) || COALESCE(category, ''::text))) gin_trgm_ops)"
public,general_ledger,idx_general_ledger_source,"CREATE INDEX idx_general_ledger_source ON public.general_ledger USING btree (source_table, source_id)"
public,general_ledger,idx_general_ledger_transaction_date,CREATE INDEX idx_general_ledger_transaction_date ON public.general_ledger USING btree (transaction_date DESC)
public,general_ledger,idx_general_ledger_user_date,"CREATE INDEX idx_general_ledger_user_date ON public.general_ledger USING btree (user_id, transaction_date DESC)"
public,general_ledger,idx_general_ledger_user_id,CREATE INDEX idx_general_ledger_user_id ON public.general_ledger USING btree (user_id)
public,general_ledger,idx_general_ledger_wallet_id,CREATE INDEX idx_general_ledger_wallet_id ON public.general_ledger USING btree (wallet_id)
public,general_ledger,idx_ledger_account,CREATE INDEX idx_ledger_account ON public.general_ledger USING btree (account) WHERE (account IS NOT NULL)
public,general_ledger,idx_ledger_transaction_group,CREATE INDEX idx_ledger_transaction_group ON public.general_ledger USING btree (transaction_group_id) WHERE (transaction_group_id IS NOT NULL)
public,general_ledger,idx_ledger_user_direction,"CREATE INDEX idx_ledger_user_direction ON public.general_ledger USING btree (user_id, direction)"
public,house_listings,house_listings_pkey,CREATE UNIQUE INDEX house_listings_pkey ON public.house_listings USING btree (id)
public,house_listings,house_listings_short_code_key,CREATE UNIQUE INDEX house_listings_short_code_key ON public.house_listings USING btree (short_code)
public,house_listings,idx_house_listings_agent_id,CREATE INDEX idx_house_listings_agent_id ON public.house_listings USING btree (agent_id)
