id,parent_agent_id,sub_agent_id,created_at,source,status,verified_by,verified_at,rejection_reason
542ad93e-9aca-4e3b-b2e7-e1072ce92ef3,99890a2e-b842-4d44-8516-e2eafe0711ff,6518a3bc-7779-43c7-9b87-3eaf6b70eaba,2026-01-28 02:45:56.935485+00,invite,verified,,,
a30eaa26-e355-40dc-98f4-1e3aabc7faf6,7375c4db-74ce-46c8-8c52-4523e06d5161,58bfc85c-6d58-48b1-babf-e93d4f37e9b3,2026-01-28 04:40:10.291369+00,invite,verified,,,
143b7212-a3c1-40a4-8d6b-4c8ee07eec1a,112b4be2-c82a-42be-8517-b4a47266959c,e2799ba1-479b-4f83-814f-34f18630674f,2026-01-28 09:23:53.843831+00,invite,verified,,,
eb1ab3c6-0213-48a5-8008-4e666fac2684,675d70c6-2f67-492a-ac29-0b11d57b52ca,f3171d51-333e-44a9-8951-3edca33efd8b,2026-01-28 09:32:26.319363+00,invite,verified,,,
ca364ba2-374d-45d1-90f8-9e8125952e2c,675d70c6-2f67-492a-ac29-0b11d57b52ca,7853d6e1-95fb-471d-b509-dd282468e7c1,2026-01-28 09:43:31.796908+00,invite,verified,,,
7a926408-1e45-48d8-a232-77dc0621166d,7853d6e1-95fb-471d-b509-dd282468e7c1,ce8cdc60-6241-47bc-b84a-eaf6eabc4d01,2026-01-28 09:47:09.277986+00,invite,verified,,,
293a82c9-4d7b-4823-a7f9-9723d1a68955,c879db7c-cfe9-4af7-8511-11e45314297c,4712d9ee-91f0-411a-b99b-e2cf1b5a9377,2026-01-28 09:49:44.615663+00,invite,verified,,,
e52c9189-1863-458b-9d5e-83b310887ed1,c879db7c-cfe9-4af7-8511-11e45314297c,0fc05724-6a87-4723-beb2-3b056fa65814,2026-01-28 09:54:23.722246+00,invite,verified,,,
a10711f3-6f3c-4ea8-9c64-074af2e54fed,112b4be2-c82a-42be-8517-b4a47266959c,348293dd-558d-42ed-a837-9064ff4da8e8,2026-01-28 10:16:17.507988+00,invite,verified,,,
ef53d208-6205-4bc6-937b-f6792b39d6bc,112b4be2-c82a-42be-8517-b4a47266959c,cf1c04ce-f894-4ad2-b9ba-b5bf4bb9f332,2026-01-28 10:19:21.366158+00,invite,verified,,,
da783d13-f14a-48b8-90dd-a8558b638f72,675d70c6-2f67-492a-ac29-0b11d57b52ca,3636efdb-0b94-4a58-8292-2e771b67565e,2026-01-28 10:32:13.009678+00,invite,verified,,,
42b42f4e-55d6-433e-86ff-32059c3f4bde,c879db7c-cfe9-4af7-8511-11e45314297c,c3db3f91-4ce7-44c5-beea-b9a4bb2c281f,2026-01-28 10:46:03.05876+00,invite,verified,,,
