id,user_id,agent_id,amount,deposit_type,created_at
7acabfe0-4693-48c7-8a9a-156722269197,bc5c8ec0-2ff7-4d7d-9d8b-7dd1270f8b72,e3cf4d3a-d021-49e4-b815-7e1938166eeb,15000,cash_deposit,2026-03-24 13:13:56.698468+00
8a5575b5-4e8a-41c5-b05c-84533b225bfb,c64f6ad4-18b3-4cbf-a77e-e079310623c9,e3cf4d3a-d021-49e4-b815-7e1938166eeb,30000,cash_deposit,2026-03-24 13:18:42.898397+00
67eacc3a-7dd8-4f15-a567-4ee8af13015c,85f547d1-d279-4ca0-852a-2e8d35b42fba,e3cf4d3a-d021-49e4-b815-7e1938166eeb,120000,cash_deposit,2026-03-26 14:25:28.576241+00
4bba1059-739c-4a02-8b0f-2dae285f826b,7f5c1d63-75c4-4b29-9f60-95f357f17f1e,e4f07815-7991-422f-946f-7f351b38e954,38000,cash_deposit,2026-03-28 19:39:33.561368+00
4569c45e-8b15-4356-b1ec-cdb432e16671,7f5c1d63-75c4-4b29-9f60-95f357f17f1e,e4f07815-7991-422f-946f-7f351b38e954,7000,cash_deposit,2026-03-28 19:40:36.49787+00
192a1776-1c9a-40c8-9c9d-9dc25a570a09,bc5c8ec0-2ff7-4d7d-9d8b-7dd1270f8b72,e3cf4d3a-d021-49e4-b815-7e1938166eeb,20000,cash_deposit,2026-03-30 09:39:45.224438+00
3d48bde7-4319-4418-890c-ab68039da2e2,7f5c1d63-75c4-4b29-9f60-95f357f17f1e,e4f07815-7991-422f-946f-7f351b38e954,14000,cash_deposit,2026-03-30 10:52:34.634433+00
13bfdf13-03c6-4e30-8cb7-f1353f5c9fca,85f547d1-d279-4ca0-852a-2e8d35b42fba,e3cf4d3a-d021-49e4-b815-7e1938166eeb,200000,cash_deposit,2026-03-30 11:16:07.499452+00
8fd27689-c5c5-49a0-bd39-b0485decd166,b1f7de11-01fa-4cde-975e-43a09086bfb2,e3cf4d3a-d021-49e4-b815-7e1938166eeb,20000,cash_deposit,2026-03-30 11:23:23.161999+00
8bb529ca-91d1-4316-a451-3c9cb5907e2c,0df8a220-624e-4008-92fb-e31774f8b908,e3cf4d3a-d021-49e4-b815-7e1938166eeb,30000,cash_deposit,2026-03-30 13:25:37.278013+00
72b9ff0f-8fe6-418b-b1c5-2b73c4f0e0ea,b1f7de11-01fa-4cde-975e-43a09086bfb2,e3cf4d3a-d021-49e4-b815-7e1938166eeb,10000,cash_deposit,2026-03-30 15:59:26.880827+00
f6831e8f-b1e5-420d-b6af-b951492220f8,c64f6ad4-18b3-4cbf-a77e-e079310623c9,e3cf4d3a-d021-49e4-b815-7e1938166eeb,10000,cash_deposit,2026-03-30 16:00:07.473484+00
1ffafbfc-f8af-4307-8d9e-03a9f583703e,0df8a220-624e-4008-92fb-e31774f8b908,e3cf4d3a-d021-49e4-b815-7e1938166eeb,30000,cash_deposit,2026-03-30 16:00:26.269536+00
97b424cc-9560-4703-a4f4-300268db32a7,5c2616a1-770d-452a-805e-ef7a5cb6e29b,e3cf4d3a-d021-49e4-b815-7e1938166eeb,10000,cash_deposit,2026-03-30 16:04:39.412975+00
8c33e7f2-c526-44ef-93fe-b488735cb9ff,7f5c1d63-75c4-4b29-9f60-95f357f17f1e,e4f07815-7991-422f-946f-7f351b38e954,14000,cash_deposit,2026-03-31 19:01:21.704775+00
9f6464c3-669d-4538-b714-f5ce07fdbe2f,36d512c6-4864-4e03-94cb-dc1c1263de10,e4f07815-7991-422f-946f-7f351b38e954,7000,cash_deposit,2026-03-31 19:11:46.468895+00
3160d69b-5011-4373-8112-c26878b044b8,5c2616a1-770d-452a-805e-ef7a5cb6e29b,e3cf4d3a-d021-49e4-b815-7e1938166eeb,11000,cash_deposit,2026-04-02 07:47:41.821071+00
ac2d4189-ed74-4aad-a22c-d541fe533af9,7f5c1d63-75c4-4b29-9f60-95f357f17f1e,e4f07815-7991-422f-946f-7f351b38e954,14000,cash_deposit,2026-04-02 09:14:00.85181+00
95430e18-8563-4c3e-b9f1-ce900f02c7cc,7f5c1d63-75c4-4b29-9f60-95f357f17f1e,e4f07815-7991-422f-946f-7f351b38e954,14000,cash_deposit,2026-04-02 12:34:20.529805+00
