id,agent_id,beneficiary_id,beneficiary_role,assigned_by,reason,is_active,expires_at,created_at,updated_at,is_managed_account,approval_status,approved_by,approved_at,rejection_reason
9edb6328-16b3-4164-bf15-01a27962a76e,b4d7c324-1f7e-4e1c-91a8-3f0e10e0b25c,13755e9e-653a-41b7-a21d-6f05c65dbdfa,supporter,0b109aad-212a-4fd0-ab03-3d7aee9cf397,No smartphone access,t,,2026-04-09 06:07:56.981527+00,2026-04-09 06:07:56.981527+00,t,approved,ae194750-4827-47e8-839e-5e772565138b,2026-04-09 06:10:32.79+00,
61aaeb76-040b-4226-832c-b0417bca3c59,b4d7c324-1f7e-4e1c-91a8-3f0e10e0b25c,b6f6e51a-8757-4e46-beb9-17021c756501,supporter,0b109aad-212a-4fd0-ab03-3d7aee9cf397,No smartphone access,t,,2026-04-09 06:06:20.717454+00,2026-04-09 06:06:20.717454+00,t,approved,ae194750-4827-47e8-839e-5e772565138b,2026-04-09 06:10:38.591+00,
b0831a6a-3d98-4018-a06f-272200db67e3,b4d7c324-1f7e-4e1c-91a8-3f0e10e0b25c,86a2067f-0152-4180-8469-729fea01b674,supporter,0b109aad-212a-4fd0-ab03-3d7aee9cf397,No smartphone access,t,,2026-04-09 05:52:38.438804+00,2026-04-09 05:52:38.438804+00,t,approved,ae194750-4827-47e8-839e-5e772565138b,2026-04-09 06:10:55.136+00,
63e1d79b-bec2-424a-aeb8-6513b8e9b37a,b4d7c324-1f7e-4e1c-91a8-3f0e10e0b25c,035c238c-ff13-4eab-8845-50551f34db79,supporter,0b109aad-212a-4fd0-ab03-3d7aee9cf397,No smartphone access,t,,2026-04-09 05:53:40.668725+00,2026-04-09 05:53:40.668725+00,t,approved,ae194750-4827-47e8-839e-5e772565138b,2026-04-09 06:11:00.3+00,
4b87e50f-358f-4073-90af-f76a57d9ff0a,b4d7c324-1f7e-4e1c-91a8-3f0e10e0b25c,9788c998-4484-4d84-80e4-8cd7933cf046,supporter,0b109aad-212a-4fd0-ab03-3d7aee9cf397,No smartphone access,t,,2026-04-09 05:54:25.485188+00,2026-04-09 05:54:25.485188+00,t,approved,ae194750-4827-47e8-839e-5e772565138b,2026-04-09 06:11:04.262+00,
e82230b8-2ca6-4223-98b0-323d514f13df,b4d7c324-1f7e-4e1c-91a8-3f0e10e0b25c,06a650f6-9de2-493f-a5a4-4e2670f0f531,supporter,0b109aad-212a-4fd0-ab03-3d7aee9cf397,No smartphone access,t,,2026-04-09 05:55:18.078624+00,2026-04-09 05:55:18.078624+00,t,approved,ae194750-4827-47e8-839e-5e772565138b,2026-04-09 06:11:08.885+00,
b549b56d-7da4-4220-96ce-375002e32927,b4d7c324-1f7e-4e1c-91a8-3f0e10e0b25c,9a20da54-829f-435d-b717-ca59a5e22658,supporter,0b109aad-212a-4fd0-ab03-3d7aee9cf397,No smartphone access,t,,2026-04-09 05:58:31.077881+00,2026-04-09 05:58:31.077881+00,t,approved,ae194750-4827-47e8-839e-5e772565138b,2026-04-09 06:11:15.447+00,
d08edf35-819a-4610-a623-de24a4c6d97c,b4d7c324-1f7e-4e1c-91a8-3f0e10e0b25c,27d5a08b-5fee-452e-bc9a-bc8064f96ae3,supporter,0b109aad-212a-4fd0-ab03-3d7aee9cf397,No smartphone access,t,,2026-04-09 06:03:33.862157+00,2026-04-09 06:03:33.862157+00,t,approved,ae194750-4827-47e8-839e-5e772565138b,2026-04-09 06:11:20.096+00,
5e7bb7fb-2392-489c-8d82-5ba926ec3dda,b4d7c324-1f7e-4e1c-91a8-3f0e10e0b25c,1d8918cf-91fd-4eb7-bd51-61df53cd1a01,supporter,0b109aad-212a-4fd0-ab03-3d7aee9cf397,No smartphone access,t,,2026-04-09 06:05:10.586581+00,2026-04-09 06:05:10.586581+00,t,approved,ae194750-4827-47e8-839e-5e772565138b,2026-04-09 06:11:23.579+00,
5c955a9b-011b-4a66-8eff-aeed9303f690,b4d7c324-1f7e-4e1c-91a8-3f0e10e0b25c,dade8610-5749-469d-90ab-37ad4f8310b4,supporter,0b109aad-212a-4fd0-ab03-3d7aee9cf397,No smartphone access,t,,2026-04-09 06:20:07.360215+00,2026-04-09 06:20:07.360215+00,t,approved,ae194750-4827-47e8-839e-5e772565138b,2026-04-09 06:29:35.78+00,
8c224311-956f-47ee-9a6b-258292a0b6ae,b4d7c324-1f7e-4e1c-91a8-3f0e10e0b25c,7b5287ac-9a91-4a23-b709-f31c0a955af7,supporter,0b109aad-212a-4fd0-ab03-3d7aee9cf397,No smartphone access,t,,2026-04-09 06:27:24.458892+00,2026-04-09 06:27:24.458892+00,t,approved,ae194750-4827-47e8-839e-5e772565138b,2026-04-09 06:29:41.116+00,
fbd86ca9-04bd-4745-8b4a-dd3f8d4f30da,b4d7c324-1f7e-4e1c-91a8-3f0e10e0b25c,c6859050-121a-4a0a-a13d-dd9d60a41416,supporter,0b109aad-212a-4fd0-ab03-3d7aee9cf397,No smartphone access,t,,2026-04-10 06:21:07.621422+00,2026-04-10 06:21:07.621422+00,t,approved,ae194750-4827-47e8-839e-5e772565138b,2026-04-10 06:44:10.49+00,
b7c6fdd7-ce37-4062-80b1-5e38c57913ef,0c0b9843-b5e8-4960-9785-d8cd0cbcde23,b63343ab-f6cf-4df5-a376-053cc5a8769f,supporter,0b109aad-212a-4fd0-ab03-3d7aee9cf397,No smartphone access,t,,2026-04-10 06:22:05.109866+00,2026-04-10 06:22:05.109866+00,t,approved,ae194750-4827-47e8-839e-5e772565138b,2026-04-10 06:44:13.457+00,
00c08125-340a-4b23-9704-cbc249f9537f,b4d7c324-1f7e-4e1c-91a8-3f0e10e0b25c,2131ea0b-32e7-486d-9349-f5dce16a6f8e,supporter,0b109aad-212a-4fd0-ab03-3d7aee9cf397,No smartphone access,t,,2026-04-10 06:22:32.87218+00,2026-04-10 06:22:32.87218+00,t,approved,ae194750-4827-47e8-839e-5e772565138b,2026-04-10 06:44:16.124+00,
8995c911-9698-4a8c-8b71-e833c0beb6eb,b4d7c324-1f7e-4e1c-91a8-3f0e10e0b25c,a71dbf37-403e-424e-a894-f8c2adedb1fb,supporter,0b109aad-212a-4fd0-ab03-3d7aee9cf397,No smartphone access,t,,2026-04-10 06:23:41.470856+00,2026-04-10 06:23:41.470856+00,t,approved,ae194750-4827-47e8-839e-5e772565138b,2026-04-10 06:44:23.897+00,
