id,user_id,latitude,longitude,accuracy,address,city,country,captured_at,verified,verified_by,verified_at,verification_notes,created_at
b4e0a352-d4f7-4304-a7ca-161501c38eca,60b71220-06fc-4468-9b3d-604ad7ddb4fc,0.0867567,32.475355,13.1000003814697,"Kabale, Namate, Post Office Subward, Kaiaba, Entebbe City, Uganda",Entebbe City,Uganda,2026-01-26 07:55:21.198715+00,f,,,,2026-01-26 07:55:21.198715+00
97a7d7e4-a4c8-4fdb-9812-bd8464f85340,60b71220-06fc-4468-9b3d-604ad7ddb4fc,0.08679,32.47516,9.60000038146973,"Kabale, Namate, Post Office Subward, Kaiaba, Entebbe City, Uganda",Entebbe City,Uganda,2026-01-26 07:56:23.15133+00,f,,,,2026-01-26 07:56:23.15133+00
a4ff37e7-745f-407f-b8bd-8121e38ec000,60b71220-06fc-4468-9b3d-604ad7ddb4fc,0.0868,32.4751483,10.6999998092651,"Kabale, Namate, Post Office Subward, Kaiaba, Entebbe City, Uganda",Entebbe City,Uganda,2026-01-26 07:56:32.686441+00,f,,,,2026-01-26 07:56:32.686441+00
b400b82c-5204-40dd-a701-beb03b7f57ed,04a3d127-5b7d-4301-a7af-e976adba4662,0.0872543,32.4771754,99.5329971313477,"Kabale, Namate, Post Office Subward, Kaiaba, Entebbe City, Uganda",Entebbe City,Uganda,2026-01-26 08:02:02.561022+00,f,,,,2026-01-26 08:02:02.561022+00
b7eb175b-2b2f-4f37-aff3-67b19b563f11,04a3d127-5b7d-4301-a7af-e976adba4662,0.0872762,32.4771432,60,"Kabale, Namate, Post Office Subward, Kaiaba, Entebbe City, Uganda",Entebbe City,Uganda,2026-01-26 08:03:06.43618+00,f,,,,2026-01-26 08:03:06.43618+00
40e99058-9a60-4687-ac2e-9e5ae6d1a155,04a3d127-5b7d-4301-a7af-e976adba4662,0.0872762,32.4771432,60,"Kabale, Namate, Post Office Subward, Kaiaba, Entebbe City, Uganda",Entebbe City,Uganda,2026-01-26 08:03:56.920462+00,f,,,,2026-01-26 08:03:56.920462+00
d418510c-248d-4647-a598-235bd590b66c,04a3d127-5b7d-4301-a7af-e976adba4662,0.0872197,32.4770915,93.6790008544922,"Kabale, Namate, Post Office Subward, Kaiaba, Entebbe City, Uganda",Entebbe City,Uganda,2026-01-26 08:04:06.898883+00,f,,,,2026-01-26 08:04:06.898883+00
292a6959-a81d-4f9b-b95d-86b038ab26b5,08e3ecb5-6a23-46e6-a15c-d89946990d8f,0.1043507,32.4869219,15.5509996414185,"Kabale.b, Entebbe City, Uganda",Entebbe City,Uganda,2026-01-26 08:09:04.457626+00,f,,,,2026-01-26 08:09:04.457626+00
25cb0add-03ff-4244-a365-f7a1703d330a,04a3d127-5b7d-4301-a7af-e976adba4662,0.087156,32.4769913,68.411003112793,"Kabale, Namate, Post Office Subward, Kaiaba, Entebbe City, Uganda",Entebbe City,Uganda,2026-01-26 08:09:56.148978+00,f,,,,2026-01-26 08:09:56.148978+00
474d6090-0999-4c3b-822e-dbada2ab1d31,08e3ecb5-6a23-46e6-a15c-d89946990d8f,0.1042764,32.4868995,15.6230001449585,"Kabale.b, Entebbe City, Uganda",Entebbe City,Uganda,2026-01-26 08:10:06.744694+00,f,,,,2026-01-26 08:10:06.744694+00
6154a0b7-7026-4a67-bca1-d66b6102fb79,04a3d127-5b7d-4301-a7af-e976adba4662,0.0791704,32.4788115,52.4000015258789,"Kabale, Namate, Post Office Subward, Kaiaba, Entebbe City, Uganda",Entebbe City,Uganda,2026-01-26 08:18:30.709568+00,f,,,,2026-01-26 08:18:30.709568+00
f4525f6f-9f74-4233-95c4-081d9c997927,04a3d127-5b7d-4301-a7af-e976adba4662,0.0791704,32.4788115,52.4000015258789,"Kabale, Namate, Post Office Subward, Kaiaba, Entebbe City, Uganda",Entebbe City,Uganda,2026-01-26 08:19:10.513458+00,f,,,,2026-01-26 08:19:10.513458+00
8d7d513a-d91a-4707-b80a-c48e7b51cb9f,04a3d127-5b7d-4301-a7af-e976adba4662,0.0791704,32.4788115,52.4000015258789,"Kabale, Namate, Post Office Subward, Kaiaba, Entebbe City, Uganda",Entebbe City,Uganda,2026-01-26 08:19:11.787063+00,f,,,,2026-01-26 08:19:11.787063+00
b65a09be-f14b-4c38-9a88-84cce812ef39,04a3d127-5b7d-4301-a7af-e976adba4662,0.0793967,32.4789122,44.0750007629395,"Kabale, Namate, Post Office Subward, Kaiaba, Entebbe City, Uganda",Entebbe City,Uganda,2026-01-26 08:19:51.515159+00,f,,,,2026-01-26 08:19:51.515159+00
86a4a876-e2b4-46c8-aab5-74b9897923a5,3a36d772-9374-4a8e-8a01-a9ab90d4ab1e,0.6352161,34.2811403,,,,,2026-02-09 14:41:59.817513+00,f,,,,2026-02-09 14:41:59.817513+00
5aa30cb3-d4c0-4504-8ab8-d105a1033555,abe80e40-83d4-4700-bb35-70890b2e9e38,0.0486995,32.4702652,,,,,2026-02-09 18:10:15.460168+00,f,,,,2026-02-09 18:10:15.460168+00
fb63cd71-dc08-462e-87a9-197a215c2a8a,4df62c49-09be-494c-a26e-518f2b24ef4a,0.3743596,32.6042704,,,,,2026-02-09 19:31:08.919495+00,f,,,,2026-02-09 19:31:08.919495+00
b2e8ae58-88b8-4b08-9038-b3d560bda727,34090d5a-292e-44de-b39f-4ce36a0fed51,0.2506446,32.6034089,,,,,2026-02-09 21:25:56.014863+00,f,,,,2026-02-09 21:25:56.014863+00
